label,text
0,Government passes new policy in parliament regarding national security
0,Election campaign heats up as political parties debate economic reforms
0,Prime minister meets foreign delegates to discuss trade agreements
1,Local football team wins championship after thrilling final match
1,Star cricketer scores century leading team to victory
1,Tennis grand slam sees major upset in semifinals
2,Stock market sees significant growth amid investor confidence
2,Major tech company reports record quarterly profits
2,New startup secures funding to expand operations globally
3,Scientists discover new breakthrough in artificial intelligence research
3,New smartphone model released with advanced features
3,Cybersecurity experts warn about rising online threats